type,strike,ttm,AveragePrice,impliedVolatility,spot,dividendYield,expiry,volume,modelPrice
call,60.0,0.0027397260273972,36.2,1.464358146972656,94.30999755859376,0.04,2025-05-02,8.0,34.309997558593764
call,70.0,0.0027397260273972,26.775,1.1801798803710937,94.30999755859376,0.04,2025-05-02,64.0,24.309997558593764
call,75.0,0.0027397260273972,22.25,1.0622605480957032,94.30999755859376,0.04,2025-05-02,55.0,19.309997558593764
call,80.0,0.0027397260273972,18.75,1.0644578027343752,94.30999755859376,0.04,2025-05-02,553.0,14.311766873863542
call,85.0,0.0027397260273972,14.975,0.9919434399414062,94.30999755859376,0.04,2025-05-02,320.0,9.34777057663816
call,90.0,0.0027397260273972,11.15,0.8851329846191407,94.30999755859376,0.04,2025-05-02,1444.0,4.656768693390663
call,95.0,0.0027397260273972,7.725,0.7867452966308592,94.30999755859376,0.04,2025-05-02,3115.0,1.2337582789345147
call,99.0,0.0027397260273972,5.85,0.7620873400878907,94.30999755859376,0.04,2025-05-02,576.0,0.20730484396519022
call,100.0,0.0027397260273972,5.25,0.7380397290039062,94.30999755859376,0.04,2025-05-02,13082.0,0.10616376997867571
call,101.0,0.0027397260273972,4.85,0.7319362744140624,94.30999755859376,0.04,2025-05-02,173.0,0.05370677058717764
call,102.0,0.0027397260273972,4.550000000000001,0.7338893798828124,94.30999755859376,0.04,2025-05-02,479.0,0.02812278106175941
call,103.0,0.0027397260273972,4.15,0.7238797143554687,94.30999755859376,0.04,2025-05-02,1007.0,0.012444121765242708
call,104.0,0.0027397260273972,3.8,0.71679970703125,94.30999755859376,0.04,2025-05-02,1074.0,0.004950693549022114
call,105.0,0.0027397260273972,3.475,0.7104521142578125,94.30999755859376,0.04,2025-05-02,3709.0,0.0019871069727719908
call,106.0,0.0027397260273972,3.15,0.7019072778320312,94.30999755859376,0.04,2025-05-02,829.0,0.0006507021725958163
call,107.0,0.0027397260273972,2.88,0.6977569287109376,94.30999755859376,0.04,2025-05-02,417.0,0.0002227751566756466
call,108.0,0.0027397260273972,2.485,0.6762727685546877,94.30999755859376,0.04,2025-05-02,727.0,4.2541554922156056e-05
call,109.0,0.0027397260273972,2.345,0.6833527758789064,94.30999755859376,0.04,2025-05-02,735.0,1.609357182063703e-05
call,110.0,0.0027397260273972,2.01,0.6640658593750002,94.30999755859376,0.04,2025-05-02,3046.0,2.3168615157246215e-06
call,111.0,0.0027397260273972,1.895,0.6709017285156251,94.30999755859376,0.04,2025-05-02,380.0,7.751337502247442e-07
call,112.0,0.0027397260273972,1.7,0.6655306884765627,94.30999755859376,0.04,2025-05-02,439.0,1.5812919608777294e-07
call,113.0,0.0027397260273972,1.47,0.6525913647460939,94.30999755859376,0.04,2025-05-02,386.0,1.807678518696609e-08
call,114.0,0.0027397260273972,1.335,0.6516148120117189,94.30999755859376,0.04,2025-05-02,648.0,3.201102766233109e-09
call,115.0,0.0027397260273972,1.17,0.6440465283203125,94.30999755859376,0.04,2025-05-02,4343.0,3.5054805262770175e-10
call,116.0,0.0027397260273972,1.09,0.648441015625,94.30999755859376,0.04,2025-05-02,926.0,7.622212908596004e-11
call,117.0,0.0027397260273972,0.96,0.6428258374023439,94.30999755859376,0.04,2025-05-02,322.0,5.5962595511146335e-12
call,118.0,0.0027397260273972,0.87,0.6425816992187501,94.30999755859376,0.04,2025-05-02,822.0,8.419601323403046e-13
call,119.0,0.0027397260273972,0.765,0.637698935546875,94.30999755859376,0.04,2025-05-02,819.0,6.33202664384795e-14
call,120.0,0.0027397260273972,0.685,0.6362341064453125,94.30999755859376,0.04,2025-05-02,4424.0,4.6507926758371734e-15
call,121.0,0.0027397260273972,0.6,0.631839619140625,94.30999755859376,0.04,2025-05-02,324.0,3.214073832825037e-16
call,122.0,0.0027397260273972,0.555,0.6352575537109376,94.30999755859376,0.04,2025-05-02,223.0,3.8523650123285583e-17
call,123.0,0.0027397260273972,0.5,0.6352575537109376,94.30999755859376,0.04,2025-05-02,460.0,1.995907533599437e-18
call,124.0,0.0027397260273972,0.455,0.6367223828125,94.30999755859376,0.04,2025-05-02,158.0,1.1941965522417005e-19
call,125.0,0.0027397260273972,0.4,0.6337927246093751,94.30999755859376,0.04,2025-05-02,2115.0,6.0703040559867226e-21
call,126.0,0.0027397260273972,0.37,0.637698935546875,94.30999755859376,0.04,2025-05-02,293.0,4.906321957392839e-22
call,127.0,0.0027397260273972,0.335,0.63867548828125,94.30999755859376,0.04,2025-05-02,678.0,2.491619192417275e-23
call,128.0,0.0027397260273972,0.305,0.6401403173828125,94.30999755859376,0.04,2025-05-02,236.0,1.100491994718117e-24
call,129.0,0.0027397260273972,0.28,0.6425816992187501,94.30999755859376,0.04,2025-05-02,133.0,4.5742239195737495e-26
call,130.0,0.0027397260273972,0.255,0.6445348046875,94.30999755859376,0.04,2025-05-02,1499.0,1.3532129190854594e-27
call,131.0,0.0027397260273972,0.235,0.647464462890625,94.30999755859376,0.04,2025-05-02,232.0,3.1763802267427626e-29
call,135.0,0.0027397260273972,0.1699999999999999,0.65820654296875,94.30999755859376,0.04,2025-05-02,527.0,0.0
call,140.0,0.0027397260273972,0.12,0.676761044921875,94.30999755859376,0.04,2025-05-02,2126.0,0.0
call,145.0,0.0027397260273972,0.095,0.70312796875,94.30999755859376,0.04,2025-05-02,140.0,0.0
call,150.0,0.0027397260273972,0.08,0.73437765625,94.30999755859376,0.04,2025-05-02,447.0,0.0
call,155.0,0.0027397260273972,0.065,0.7578149218750001,94.30999755859376,0.04,2025-05-02,18.0,0.0
call,160.0,0.0027397260273972,0.06,0.79101771484375,94.30999755859376,0.04,2025-05-02,10.0,0.0
call,165.0,0.0027397260273972,0.055,0.8203142968749999,94.30999755859376,0.04,2025-05-02,109.0,0.0
call,170.0,0.0027397260273972,0.045,0.8398453515625,94.30999755859376,0.04,2025-05-02,7.0,0.0
call,175.0,0.0027397260273972,0.045,0.87500125,94.30999755859376,0.04,2025-05-02,26.0,0.0
put,60.0,0.0027397260273972,0.445,1.0185595947265624,94.30999755859376,0.04,2025-05-02,312.0,7.257473283040347e-21
