contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiry,spot,dividendYield
SPY250411C00375000,2025-04-04 14:46:33+00:00,375.0,138.99,130.4,132.05,-23.649994,-14.541314,70.0,150,1.272952854003906,True,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00380000,2025-04-04 19:51:15+00:00,380.0,129.11,125.38,127.83,-33.069992,-20.39092,3.0,19,1.3044468371582028,True,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00395000,2025-03-13 14:08:48+00:00,395.0,125.87,109.65,112.97,-35.79,-22.139057,4.0,0,1.1003462951660157,True,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00400000,2025-04-04 19:54:04+00:00,400.0,107.39,104.75,107.78,-68.490005,-38.941326,21.0,2,1.0444383715820313,True,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00410000,2025-03-13 20:01:01+00:00,410.0,142.58,95.01,98.32,0.0,0.0,,0,1.0192920129394532,True,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00415000,2025-04-04 19:51:15+00:00,415.0,94.66,90.13,92.91,-42.800003,-31.136332,3.0,0,0.9487309814453124,True,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00420000,2025-04-04 19:22:43+00:00,420.0,91.84,86.26,88.12,-62.72,-40.579712,2.0,0,0.9924317163085938,True,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00425000,2025-04-04 19:22:52+00:00,425.0,87.49,81.44,83.34,-52.9,-37.680748,2.0,0,0.9653323779296875,True,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00430000,2025-04-04 19:22:58+00:00,430.0,83.05,75.98,78.58,-49.58,-37.38219,2.0,0,0.9023447265625,True,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
SPY250411C00445000,2025-03-18 19:40:16+00:00,445.0,115.93,63.23,63.61,0.0,0.0,,0,0.8527846752929689,True,REGULAR,USD,call,2025-04-11,505.2799987792969,1.28
